user_id,gid
User1,72727
User1,554117
User1,1985042
User1,2807443
User1,3946385
User1,4673196
User1,10011448
User1,12075057
User1,25883387
User1,27936473
User1,32267820
User1,33317707
User1,33549256
User1,33557532
User1,33790408
User1,43372748
User2,2370668
User2,3284297
User2,3381077
User2,5151157
User2,8548992
User2,12059497
User2,27111134
User2,28216470
User2,31235339
User2,34376951
User3,554117
User3,3381077
User3,8729288
User3,10011448
User3,16394679
User3,27918130
User3,28930444
User3,30220970
User3,30644662
User4,4984
User4,345384
User4,3284297
User4,4458711
User4,4755837
User4,5039367
User4,5533120
User4,5793658
User4,7303058
User4,7822644
User4,7934410
User4,7964730
User4,7988865
User4,8094591
User4,8309398
User4,8516314
User4,9036925
User4,10019423
User4,10390614
User4,10408339
User4,10837283
User4,11083974
User4,11138703
User4,11683421
User4,11723173
User4,11726513
User4,11813986
User4,12455972
User4,12668752
User4,18664703
User4,24983848
User4,25694322
User4,26182648
User4,26674212
User4,27487162
User4,27637966
User4,28111666
User4,29332178
User4,29416205
User4,30676182
User4,31926965
User4,31965341
User4,32182794
User4,32279229
User4,42155078
User4,42520114
User4,42987818
User5,4458711
User5,4741524
User5,4857785
User5,22128230
User5,25300306
User5,25588535
User5,25883387
User5,35212579
User5,38598473
User6,4755837
User6,27148624
User6,32497068
User6,34278181
User6,41989111
User7,380825
User7,4499454
User7,6990573
User7,7243799
User7,27738092
User8,1583476
User8,1619994
User8,3229727
User8,3284297
User8,3381077
User8,3643075
User8,4047224
User8,4857785
User8,5042629
User8,5074328
User8,5160183
User8,5365820
User8,5378456
User8,5527809
User8,5989893
User8,6162678
User8,6250352
User8,7294138
User8,7416288
User8,7491944
User8,7620185
User8,7872286
User8,8243506
User8,8294259
User8,8460294
User8,8852304
User8,9238590
User8,9254464
User8,9305906
User8,9524477
User8,9668867
User8,10104477
User8,10109758
User8,10128008
User8,10408339
User8,11172397
User8,11600509
User8,11739878
User8,11877250
User8,11978515
User8,12619756
User8,12714572
User8,12737368
User8,14543959
User8,16801113
User8,18768835
User8,21205989
User8,21206554
User8,21375249
User8,21815227
User8,22704802
User8,23954849
User8,23954906
User8,23954989
User8,24097642
