steamid,communityvisibilitystate,profilestate,personaname,commentpermission,profileurl,avatarfull,personastate,realname,primaryclanid,timecreated,personastateflags,loccountrycode,locstatecode,loccityid,gameextrainfo,gameid,lobbysteamid,gameserverip,gameserversteamid,response
76561198161230159,3.0,1.0,rhymastic,,https://steamcommunity.com/id/spaceboynevasleep/,https://avatars.steamstatic.com/2a00484a4b9b6fce946d3abb84595cd407ae54e2_full.jpg,0.0,Vu Duc Thien,103582791429521408,1414775642.0,0.0,VN,,,,,,,,
76561198176587449,3.0,1.0,Dangphethuoc,1.0,https://steamcommunity.com/id/hongnhanhoathuy1/,https://avatars.steamstatic.com/01c9bd8925a7bb890e7b435ccf67518536899d12_full.jpg,0.0,☞⊙ ๖ۣۜTien ⊙☜,103582791435090671,1422623173.0,0.0,US,NC,2873.0,,,,,,
76561198180898487,3.0,1.0,Billionaire,1.0,https://steamcommunity.com/id/virussop/,https://avatars.steamstatic.com/2c199e8be4dd1eca0f2e2def64ddcc93bdf9682a_full.jpg,0.0,ViruSs,103582791434262932,1424544344.0,0.0,,,,,,,,,
76561198198652406,3.0,1.0,KayelSeven,1.0,https://steamcommunity.com/id/killernhoc72/,https://avatars.steamstatic.com/cf65ef552afa07d7d5b9e48fbd8944f075b643ef_full.jpg,0.0,,103582791429521408,1432870710.0,0.0,,,,,,,,,
76561198204667263,3.0,1.0,DORAEMON STORE,2.0,https://steamcommunity.com/id/vankhang92bnn/,https://avatars.steamstatic.com/bcaccd863d8e0853388ad661e5cdb42f13967562_full.jpg,3.0,Nguyen Khang,103582791464730473,1435673844.0,0.0,VN,,,,,,,,
76561198219260845,3.0,1.0,MixiNguyen,1.0,https://steamcommunity.com/id/dochet1989/,https://avatars.steamstatic.com/e5414a0597768d4995569e7fd2f80ef490c94665_full.jpg,0.0,,103582791429521408,1442824128.0,0.0,,,,,,,,,
76561198221392168,3.0,1.0,Sof13,1.0,https://steamcommunity.com/profiles/76561198221392168/,https://avatars.steamstatic.com/6e1efdc7f90a0d498a30b613777d057fa61ad05f_full.jpg,0.0,tabi,103582791429521408,1427950811.0,0.0,SG,,,,,,,,
76561198225552700,3.0,1.0,devzxJEE,2.0,https://steamcommunity.com/id/devzxje/,https://avatars.steamstatic.com/ed225c92f816cfaf5c91edb89c8cd0ce8d6bea23_full.jpg,0.0,dev motherfxcking nguyen,103582791464733987,1429939943.0,0.0,FR,,,,,,,,
76561198236428718,3.0,1.0,FAT,1.0,https://steamcommunity.com/id/Fat1610/,https://avatars.steamstatic.com/cf8b19f98b0fcaaf287684442c353577869b0b50_full.jpg,0.0,,103582791464733987,1435487275.0,0.0,VN,51,,,,,,,
76561198304114917,3.0,1.0,Dank666,2.0,https://steamcommunity.com/id/djchip/,https://avatars.steamstatic.com/0e3d80d5a0dd87a985db808267060fd13e19b414_full.jpg,0.0,Duc Anh,103582791429521408,1463214476.0,0.0,VN,51,,,,,,,
