,0
shortest_path,0.8768984213308433
pa,0.0262232736944699
adamic,0.02469341708965665
deg_prod,0.02342012101239908
common_neigh,0.018680215117586146
jaccard,0.015560217413597996
ra,0.010085017983550236
same_comm,0.004439316357896582
