sha1_id,gid
009149f54fd887cfa28c99b2bf242057ea1fb49c,72727
009149f54fd887cfa28c99b2bf242057ea1fb49c,554117
009149f54fd887cfa28c99b2bf242057ea1fb49c,1985042
009149f54fd887cfa28c99b2bf242057ea1fb49c,2807443
009149f54fd887cfa28c99b2bf242057ea1fb49c,3946385
009149f54fd887cfa28c99b2bf242057ea1fb49c,4673196
009149f54fd887cfa28c99b2bf242057ea1fb49c,10011448
009149f54fd887cfa28c99b2bf242057ea1fb49c,12075057
009149f54fd887cfa28c99b2bf242057ea1fb49c,25883387
009149f54fd887cfa28c99b2bf242057ea1fb49c,27936473
009149f54fd887cfa28c99b2bf242057ea1fb49c,32267820
009149f54fd887cfa28c99b2bf242057ea1fb49c,33317707
009149f54fd887cfa28c99b2bf242057ea1fb49c,33549256
009149f54fd887cfa28c99b2bf242057ea1fb49c,33557532
009149f54fd887cfa28c99b2bf242057ea1fb49c,33790408
009149f54fd887cfa28c99b2bf242057ea1fb49c,43372748
00adc075b741c898752024afa97d4146e42ee64a,2370668
00adc075b741c898752024afa97d4146e42ee64a,3284297
00adc075b741c898752024afa97d4146e42ee64a,3381077
00adc075b741c898752024afa97d4146e42ee64a,5151157
00adc075b741c898752024afa97d4146e42ee64a,8548992
00adc075b741c898752024afa97d4146e42ee64a,12059497
00adc075b741c898752024afa97d4146e42ee64a,27111134
00adc075b741c898752024afa97d4146e42ee64a,28216470
00adc075b741c898752024afa97d4146e42ee64a,31235339
00adc075b741c898752024afa97d4146e42ee64a,34376951
00ba800a8781471a5ee72450cf61c48734675e6a,554117
00ba800a8781471a5ee72450cf61c48734675e6a,3381077
00ba800a8781471a5ee72450cf61c48734675e6a,8729288
00ba800a8781471a5ee72450cf61c48734675e6a,10011448
00ba800a8781471a5ee72450cf61c48734675e6a,16394679
00ba800a8781471a5ee72450cf61c48734675e6a,27918130
00ba800a8781471a5ee72450cf61c48734675e6a,28930444
00ba800a8781471a5ee72450cf61c48734675e6a,30220970
00ba800a8781471a5ee72450cf61c48734675e6a,30644662
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,4984
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,345384
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,3284297
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,4458711
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,4755837
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,5039367
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,5533120
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,5793658
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,7303058
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,7822644
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,7934410
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,7964730
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,7988865
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,8094591
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,8309398
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,8516314
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,9036925
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,10019423
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,10390614
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,10408339
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,10837283
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,11083974
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,11138703
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,11683421
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,11723173
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,11726513
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,11813986
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,12455972
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,12668752
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,18664703
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,24983848
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,25694322
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,26182648
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,26674212
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,27487162
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,27637966
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,28111666
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,29332178
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,29416205
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,30676182
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,31926965
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,31965341
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,32182794
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,32279229
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,42155078
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,42520114
00bc7bcaca14be83ef67fcea4e474cc59fdfe073,42987818
00bd2b867694be1cba7599fc6b88dff117c7ff31,4458711
00bd2b867694be1cba7599fc6b88dff117c7ff31,4741524
00bd2b867694be1cba7599fc6b88dff117c7ff31,4857785
00bd2b867694be1cba7599fc6b88dff117c7ff31,22128230
00bd2b867694be1cba7599fc6b88dff117c7ff31,25300306
00bd2b867694be1cba7599fc6b88dff117c7ff31,25588535
00bd2b867694be1cba7599fc6b88dff117c7ff31,25883387
00bd2b867694be1cba7599fc6b88dff117c7ff31,35212579
00bd2b867694be1cba7599fc6b88dff117c7ff31,38598473
00be9f4c7f7079772081a3911e86db52da31c14a,4755837
00be9f4c7f7079772081a3911e86db52da31c14a,27148624
00be9f4c7f7079772081a3911e86db52da31c14a,32497068
00be9f4c7f7079772081a3911e86db52da31c14a,34278181
00be9f4c7f7079772081a3911e86db52da31c14a,41989111
00cada4281dda751c0f4aea6b681ec9b4943fc01,380825
00cada4281dda751c0f4aea6b681ec9b4943fc01,4499454
00cada4281dda751c0f4aea6b681ec9b4943fc01,6990573
00cada4281dda751c0f4aea6b681ec9b4943fc01,7243799
00cada4281dda751c0f4aea6b681ec9b4943fc01,27738092
00d575612f6a91ab88280efa1ffef4b83465dd42,1583476
00d575612f6a91ab88280efa1ffef4b83465dd42,1619994
00d575612f6a91ab88280efa1ffef4b83465dd42,3229727
00d575612f6a91ab88280efa1ffef4b83465dd42,3284297
00d575612f6a91ab88280efa1ffef4b83465dd42,3381077
00d575612f6a91ab88280efa1ffef4b83465dd42,3643075
00d575612f6a91ab88280efa1ffef4b83465dd42,4047224
00d575612f6a91ab88280efa1ffef4b83465dd42,4857785
00d575612f6a91ab88280efa1ffef4b83465dd42,5042629
00d575612f6a91ab88280efa1ffef4b83465dd42,5074328
00d575612f6a91ab88280efa1ffef4b83465dd42,5160183
00d575612f6a91ab88280efa1ffef4b83465dd42,5365820
00d575612f6a91ab88280efa1ffef4b83465dd42,5378456
00d575612f6a91ab88280efa1ffef4b83465dd42,5527809
00d575612f6a91ab88280efa1ffef4b83465dd42,5989893
00d575612f6a91ab88280efa1ffef4b83465dd42,6162678
00d575612f6a91ab88280efa1ffef4b83465dd42,6250352
00d575612f6a91ab88280efa1ffef4b83465dd42,7294138
00d575612f6a91ab88280efa1ffef4b83465dd42,7416288
00d575612f6a91ab88280efa1ffef4b83465dd42,7491944
00d575612f6a91ab88280efa1ffef4b83465dd42,7620185
00d575612f6a91ab88280efa1ffef4b83465dd42,7872286
00d575612f6a91ab88280efa1ffef4b83465dd42,8243506
00d575612f6a91ab88280efa1ffef4b83465dd42,8294259
00d575612f6a91ab88280efa1ffef4b83465dd42,8460294
00d575612f6a91ab88280efa1ffef4b83465dd42,8852304
00d575612f6a91ab88280efa1ffef4b83465dd42,9238590
00d575612f6a91ab88280efa1ffef4b83465dd42,9254464
00d575612f6a91ab88280efa1ffef4b83465dd42,9305906
00d575612f6a91ab88280efa1ffef4b83465dd42,9524477
00d575612f6a91ab88280efa1ffef4b83465dd42,9668867
